2025/12/03 01:09:43 PM > ep 1 done. total_steps=13 | reward=13.0 | episode_steps=13 | hours=0.000 | epsilon=0.999
2025/12/03 01:09:43 PM > ep 2 done. total_steps=32 | reward=19.0 | episode_steps=19 | hours=0.000 | epsilon=0.999
2025/12/03 01:09:44 PM > ep 3 done. total_steps=44 | reward=12.0 | episode_steps=12 | hours=0.000 | epsilon=0.998
2025/12/03 01:09:44 PM > ep 4 done. total_steps=54 | reward=10.0 | episode_steps=10 | hours=0.000 | epsilon=0.998
2025/12/03 01:09:44 PM > ep 5 done. total_steps=70 | reward=16.0 | episode_steps=16 | hours=0.001 | epsilon=0.997
2025/12/03 01:09:44 PM > ep 6 done. total_steps=90 | reward=20.0 | episode_steps=20 | hours=0.001 | epsilon=0.996
2025/12/03 01:09:44 PM > ep 7 done. total_steps=102 | reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.995
2025/12/03 01:09:45 PM > ep 8 done. total_steps=120 | reward=18.0 | episode_steps=18 | hours=0.001 | epsilon=0.995
2025/12/03 01:09:45 PM > ep 9 done. total_steps=137 | reward=17.0 | episode_steps=17 | hours=0.001 | epsilon=0.994
2025/12/03 01:09:45 PM > ep 10 done. total_steps=149 | reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.993
2025/12/03 01:09:45 PM > ep 11 done. total_steps=158 | reward=9.0 | episode_steps=9 | hours=0.001 | epsilon=0.993
2025/12/03 01:09:46 PM > ep 12 done. total_steps=175 | reward=17.0 | episode_steps=17 | hours=0.001 | epsilon=0.992
2025/12/03 01:09:46 PM > ep 13 done. total_steps=201 | reward=26.0 | episode_steps=26 | hours=0.001 | epsilon=0.991
2025/12/03 01:09:46 PM > ep 14 done. total_steps=237 | reward=36.0 | episode_steps=36 | hours=0.001 | epsilon=0.989
2025/12/03 01:09:46 PM > ep 15 done. total_steps=248 | reward=11.0 | episode_steps=11 | hours=0.001 | epsilon=0.989
2025/12/03 01:09:47 PM > ep 16 done. total_steps=270 | reward=22.0 | episode_steps=22 | hours=0.001 | epsilon=0.988
2025/12/03 01:09:47 PM > ep 17 done. total_steps=301 | reward=31.0 | episode_steps=31 | hours=0.001 | epsilon=0.987
2025/12/03 01:09:47 PM > ep 18 done. total_steps=324 | reward=23.0 | episode_steps=23 | hours=0.002 | epsilon=0.986
2025/12/03 01:09:48 PM > ep 19 done. total_steps=341 | reward=17.0 | episode_steps=17 | hours=0.002 | epsilon=0.985
2025/12/03 01:09:48 PM > ep 20 done. total_steps=350 | reward=9.0 | episode_steps=9 | hours=0.002 | epsilon=0.984
2025/12/03 01:09:48 PM > ep 21 done. total_steps=374 | reward=24.0 | episode_steps=24 | hours=0.002 | epsilon=0.983
2025/12/03 01:09:48 PM > ep 22 done. total_steps=390 | reward=16.0 | episode_steps=16 | hours=0.002 | epsilon=0.983
2025/12/03 01:09:49 PM > ep 23 done. total_steps=409 | reward=19.0 | episode_steps=19 | hours=0.002 | epsilon=0.982
2025/12/03 01:09:49 PM > ep 24 done. total_steps=418 | reward=9.0 | episode_steps=9 | hours=0.002 | epsilon=0.981
2025/12/03 01:09:49 PM > ep 25 done. total_steps=431 | reward=13.0 | episode_steps=13 | hours=0.002 | epsilon=0.981
2025/12/03 01:09:49 PM > ep 26 done. total_steps=452 | reward=21.0 | episode_steps=21 | hours=0.002 | epsilon=0.980
2025/12/03 01:09:49 PM > ep 27 done. total_steps=469 | reward=17.0 | episode_steps=17 | hours=0.002 | epsilon=0.979
2025/12/03 01:09:50 PM > ep 28 done. total_steps=478 | reward=9.0 | episode_steps=9 | hours=0.002 | epsilon=0.979
2025/12/03 01:09:50 PM > ep 29 done. total_steps=489 | reward=11.0 | episode_steps=11 | hours=0.002 | epsilon=0.978
2025/12/03 01:09:50 PM > ep 30 done. total_steps=509 | reward=20.0 | episode_steps=20 | hours=0.002 | epsilon=0.977
2025/12/03 01:09:50 PM > ep 31 done. total_steps=524 | reward=15.0 | episode_steps=15 | hours=0.002 | epsilon=0.977
2025/12/03 01:09:50 PM > ep 32 done. total_steps=545 | reward=21.0 | episode_steps=21 | hours=0.002 | epsilon=0.976
2025/12/03 01:09:51 PM > ep 33 done. total_steps=561 | reward=16.0 | episode_steps=16 | hours=0.002 | epsilon=0.975
2025/12/03 01:09:51 PM > ep 34 done. total_steps=572 | reward=11.0 | episode_steps=11 | hours=0.002 | epsilon=0.975
2025/12/03 01:09:51 PM > ep 35 done. total_steps=590 | reward=18.0 | episode_steps=18 | hours=0.003 | epsilon=0.974
2025/12/03 01:09:51 PM > ep 36 done. total_steps=609 | reward=19.0 | episode_steps=19 | hours=0.003 | epsilon=0.973
2025/12/03 01:09:52 PM > ep 37 done. total_steps=649 | reward=40.0 | episode_steps=40 | hours=0.003 | epsilon=0.971
2025/12/03 01:09:52 PM > ep 38 done. total_steps=664 | reward=15.0 | episode_steps=15 | hours=0.003 | epsilon=0.971
2025/12/03 01:09:53 PM > ep 39 done. total_steps=680 | reward=16.0 | episode_steps=16 | hours=0.003 | epsilon=0.970
2025/12/03 01:09:53 PM > ep 40 done. total_steps=699 | reward=19.0 | episode_steps=19 | hours=0.003 | epsilon=0.969
2025/12/03 01:09:53 PM > ep 41 done. total_steps=723 | reward=24.0 | episode_steps=24 | hours=0.003 | epsilon=0.968
2025/12/03 01:09:53 PM > ep 42 done. total_steps=738 | reward=15.0 | episode_steps=15 | hours=0.003 | epsilon=0.967
2025/12/03 01:09:53 PM > ep 43 done. total_steps=758 | reward=20.0 | episode_steps=20 | hours=0.003 | epsilon=0.967
2025/12/03 01:09:54 PM > ep 44 done. total_steps=770 | reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.966
2025/12/03 01:09:54 PM > ep 45 done. total_steps=783 | reward=13.0 | episode_steps=13 | hours=0.003 | epsilon=0.965
2025/12/03 01:09:54 PM > ep 46 done. total_steps=800 | reward=17.0 | episode_steps=17 | hours=0.003 | epsilon=0.965
2025/12/03 01:09:54 PM > ep 47 done. total_steps=812 | reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.964
2025/12/03 01:09:54 PM > ep 48 done. total_steps=828 | reward=16.0 | episode_steps=16 | hours=0.003 | epsilon=0.964
2025/12/03 01:09:55 PM > ep 49 done. total_steps=843 | reward=15.0 | episode_steps=15 | hours=0.003 | epsilon=0.963
2025/12/03 01:09:55 PM > ep 50 done. total_steps=854 | reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.962
2025/12/03 01:09:55 PM > ep 51 done. total_steps=871 | reward=17.0 | episode_steps=17 | hours=0.004 | epsilon=0.962
2025/12/03 01:09:55 PM > ep 52 done. total_steps=895 | reward=24.0 | episode_steps=24 | hours=0.004 | epsilon=0.961
2025/12/03 01:09:55 PM > ep 53 done. total_steps=910 | reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.960
