2025/12/04 03:47:21 PM > ep 1 done. total_steps=92 | reward=-163.86156418168247 | episode_steps=92 | hours=0.000 | epsilon=0.996
2025/12/04 03:47:22 PM > ep 2 done. total_steps=156 | reward=-98.5889662789103 | episode_steps=64 | hours=0.000 | epsilon=0.993
2025/12/04 03:47:22 PM > ep 3 done. total_steps=257 | reward=-390.94291165427245 | episode_steps=101 | hours=0.000 | epsilon=0.989
2025/12/04 03:47:23 PM > ep 4 done. total_steps=380 | reward=-405.59209921037547 | episode_steps=123 | hours=0.001 | epsilon=0.983
2025/12/04 03:47:23 PM > ep 5 done. total_steps=439 | reward=-142.41640335836618 | episode_steps=59 | hours=0.001 | epsilon=0.981
2025/12/04 03:47:24 PM > ep 6 done. total_steps=563 | reward=-465.9395594878685 | episode_steps=124 | hours=0.001 | epsilon=0.975
2025/12/04 03:47:24 PM > ep 7 done. total_steps=672 | reward=-97.85861958852688 | episode_steps=109 | hours=0.001 | epsilon=0.970
2025/12/04 03:47:25 PM > ep 8 done. total_steps=800 | reward=-252.9951236255337 | episode_steps=128 | hours=0.001 | epsilon=0.965
2025/12/04 03:47:25 PM > ep 9 done. total_steps=881 | reward=-146.97145543660127 | episode_steps=81 | hours=0.001 | epsilon=0.961
2025/12/04 03:47:26 PM > ep 10 done. total_steps=1058 | reward=-344.54033183211646 | episode_steps=177 | hours=0.002 | epsilon=0.954
2025/12/04 03:47:27 PM > ep 11 done. total_steps=1152 | reward=-342.3560788327943 | episode_steps=94 | hours=0.002 | epsilon=0.950
2025/12/04 03:47:27 PM > ep 12 done. total_steps=1229 | reward=-184.63314823071016 | episode_steps=77 | hours=0.002 | epsilon=0.946
2025/12/04 03:47:28 PM > ep 13 done. total_steps=1338 | reward=-177.99121687849293 | episode_steps=109 | hours=0.002 | epsilon=0.942
2025/12/04 03:47:28 PM > ep 14 done. total_steps=1442 | reward=-140.73474153337784 | episode_steps=104 | hours=0.002 | epsilon=0.937
2025/12/04 03:47:29 PM > ep 15 done. total_steps=1533 | reward=-377.36146156537626 | episode_steps=91 | hours=0.002 | epsilon=0.934
2025/12/04 03:47:30 PM > ep 16 done. total_steps=1661 | reward=-156.55382262025228 | episode_steps=128 | hours=0.003 | epsilon=0.928
2025/12/04 03:47:30 PM > ep 17 done. total_steps=1753 | reward=-421.87038572482277 | episode_steps=92 | hours=0.003 | epsilon=0.925
2025/12/04 03:47:30 PM > ep 18 done. total_steps=1830 | reward=-96.18716819973179 | episode_steps=77 | hours=0.003 | epsilon=0.921
2025/12/04 03:47:31 PM > ep 19 done. total_steps=1941 | reward=-175.98335177046005 | episode_steps=111 | hours=0.003 | epsilon=0.917
2025/12/04 03:47:32 PM > ep 20 done. total_steps=2067 | reward=-139.38461040907708 | episode_steps=126 | hours=0.003 | epsilon=0.912
2025/12/04 03:47:32 PM > ep 21 done. total_steps=2191 | reward=-246.8490071965706 | episode_steps=124 | hours=0.003 | epsilon=0.907
2025/12/04 03:47:33 PM > ep 22 done. total_steps=2247 | reward=-99.52650801319945 | episode_steps=56 | hours=0.003 | epsilon=0.904
2025/12/04 03:47:33 PM > ep 23 done. total_steps=2327 | reward=-128.31000831731302 | episode_steps=80 | hours=0.004 | epsilon=0.901
2025/12/04 03:47:34 PM > ep 24 done. total_steps=2441 | reward=-265.24794647863456 | episode_steps=114 | hours=0.004 | epsilon=0.897
2025/12/04 03:47:35 PM > ep 25 done. total_steps=2600 | reward=-325.99746984905573 | episode_steps=159 | hours=0.004 | epsilon=0.890
2025/12/04 03:47:35 PM > ep 26 done. total_steps=2738 | reward=-362.12037413115405 | episode_steps=138 | hours=0.004 | epsilon=0.885
2025/12/04 03:47:36 PM > ep 27 done. total_steps=2850 | reward=-299.1491473227757 | episode_steps=112 | hours=0.004 | epsilon=0.881
2025/12/04 03:47:36 PM > ep 28 done. total_steps=2970 | reward=-22.51894997201468 | episode_steps=120 | hours=0.004 | epsilon=0.876
2025/12/04 03:47:37 PM > ep 29 done. total_steps=3133 | reward=-556.9705906028764 | episode_steps=163 | hours=0.005 | epsilon=0.870
2025/12/04 03:47:38 PM > ep 30 done. total_steps=3230 | reward=-45.59790347357037 | episode_steps=97 | hours=0.005 | epsilon=0.866
