2025/12/04 12:58:12 PM > ep 1 done. total_steps=751 | reward=1.0 | episode_steps=751 | hours=0.004 | epsilon=0.967
2025/12/04 12:58:15 PM > ep 2 done. total_steps=1304 | reward=1.0 | episode_steps=553 | hours=0.005 | epsilon=0.943
2025/12/04 12:58:19 PM > ep 3 done. total_steps=2055 | reward=1.0 | episode_steps=751 | hours=0.006 | epsilon=0.912
2025/12/04 12:58:20 PM > ep 4 done. total_steps=2279 | reward=1.0 | episode_steps=224 | hours=0.006 | epsilon=0.903
2025/12/04 12:58:21 PM > ep 5 done. total_steps=2404 | reward=1.0 | episode_steps=125 | hours=0.006 | epsilon=0.898
2025/12/04 12:58:21 PM > ep 6 done. total_steps=2459 | reward=1.0 | episode_steps=55 | hours=0.006 | epsilon=0.896
2025/12/04 12:58:26 PM > ep 7 done. total_steps=3459 | reward=0.0 | episode_steps=1000 | hours=0.008 | epsilon=0.857
2025/12/04 12:58:29 PM > ep 8 done. total_steps=4051 | reward=1.0 | episode_steps=592 | hours=0.009 | epsilon=0.835
2025/12/04 12:58:30 PM > ep 9 done. total_steps=4084 | reward=1.0 | episode_steps=33 | hours=0.009 | epsilon=0.834
2025/12/04 12:58:35 PM > ep 10 done. total_steps=5084 | reward=0.0 | episode_steps=1000 | hours=0.010 | epsilon=0.798
2025/12/04 12:58:35 PM > ep 11 done. total_steps=5206 | reward=1.0 | episode_steps=122 | hours=0.010 | epsilon=0.794
2025/12/04 12:58:38 PM > ep 12 done. total_steps=5623 | reward=1.0 | episode_steps=417 | hours=0.011 | epsilon=0.779
2025/12/04 12:58:38 PM > ep 13 done. total_steps=5764 | reward=1.0 | episode_steps=141 | hours=0.011 | epsilon=0.775
2025/12/04 12:58:43 PM > ep 14 done. total_steps=6764 | reward=0.0 | episode_steps=1000 | hours=0.012 | epsilon=0.742
2025/12/04 12:58:45 PM > ep 15 done. total_steps=6998 | reward=1.0 | episode_steps=234 | hours=0.013 | epsilon=0.734
2025/12/04 12:58:45 PM > ep 16 done. total_steps=7103 | reward=1.0 | episode_steps=105 | hours=0.013 | epsilon=0.731
2025/12/04 12:58:45 PM > ep 17 done. total_steps=7151 | reward=1.0 | episode_steps=48 | hours=0.013 | epsilon=0.729
2025/12/04 12:58:51 PM > ep 18 done. total_steps=8151 | reward=0.0 | episode_steps=1000 | hours=0.014 | epsilon=0.699
2025/12/04 12:58:53 PM > ep 19 done. total_steps=8621 | reward=1.0 | episode_steps=470 | hours=0.015 | epsilon=0.685
2025/12/04 12:58:54 PM > ep 20 done. total_steps=8874 | reward=1.0 | episode_steps=253 | hours=0.015 | epsilon=0.678
2025/12/04 12:58:55 PM > ep 21 done. total_steps=8936 | reward=1.0 | episode_steps=62 | hours=0.016 | epsilon=0.676
2025/12/04 12:58:55 PM > ep 22 done. total_steps=8950 | reward=1.0 | episode_steps=14 | hours=0.016 | epsilon=0.675
2025/12/04 12:58:59 PM > ep 23 done. total_steps=9728 | reward=1.0 | episode_steps=778 | hours=0.017 | epsilon=0.653
2025/12/04 12:59:04 PM > ep 24 done. total_steps=10694 | reward=1.0 | episode_steps=966 | hours=0.018 | epsilon=0.627
2025/12/04 12:59:05 PM > ep 25 done. total_steps=10917 | reward=1.0 | episode_steps=223 | hours=0.018 | epsilon=0.621
2025/12/04 12:59:07 PM > ep 26 done. total_steps=11242 | reward=1.0 | episode_steps=325 | hours=0.019 | epsilon=0.613
2025/12/04 12:59:08 PM > ep 27 done. total_steps=11446 | reward=1.0 | episode_steps=204 | hours=0.019 | epsilon=0.608
2025/12/04 12:59:11 PM > ep 28 done. total_steps=12140 | reward=1.0 | episode_steps=694 | hours=0.020 | epsilon=0.591
2025/12/04 12:59:13 PM > ep 29 done. total_steps=12492 | reward=1.0 | episode_steps=352 | hours=0.021 | epsilon=0.582
2025/12/04 12:59:14 PM > ep 30 done. total_steps=12707 | reward=1.0 | episode_steps=215 | hours=0.021 | epsilon=0.577
2025/12/04 12:59:19 PM > ep 31 done. total_steps=13695 | reward=1.0 | episode_steps=988 | hours=0.022 | epsilon=0.554
2025/12/04 12:59:20 PM > ep 32 done. total_steps=13929 | reward=1.0 | episode_steps=234 | hours=0.023 | epsilon=0.549
2025/12/04 12:59:22 PM > ep 33 done. total_steps=14195 | reward=1.0 | episode_steps=266 | hours=0.023 | epsilon=0.543
2025/12/04 12:59:22 PM > ep 34 done. total_steps=14234 | reward=1.0 | episode_steps=39 | hours=0.023 | epsilon=0.542
2025/12/04 12:59:23 PM > ep 35 done. total_steps=14471 | reward=1.0 | episode_steps=237 | hours=0.024 | epsilon=0.537
2025/12/04 12:59:24 PM > ep 36 done. total_steps=14661 | reward=1.0 | episode_steps=190 | hours=0.024 | epsilon=0.532
