2025/12/03 02:43:17 PM > ep 1 done. total_steps=13 | reward=13.0 | episode_steps=13 | hours=0.000 | epsilon=0.999
2025/12/03 02:43:17 PM > ep 2 done. total_steps=32 | reward=19.0 | episode_steps=19 | hours=0.000 | epsilon=0.999
2025/12/03 02:43:18 PM > ep 3 done. total_steps=51 | reward=19.0 | episode_steps=19 | hours=0.000 | epsilon=0.998
2025/12/03 02:43:18 PM > ep 4 done. total_steps=63 | reward=12.0 | episode_steps=12 | hours=0.000 | epsilon=0.997
2025/12/03 02:43:18 PM > ep 5 done. total_steps=86 | reward=23.0 | episode_steps=23 | hours=0.000 | epsilon=0.996
2025/12/03 02:43:18 PM > ep 6 done. total_steps=112 | reward=26.0 | episode_steps=26 | hours=0.000 | epsilon=0.995
2025/12/03 02:43:18 PM > ep 7 done. total_steps=128 | reward=16.0 | episode_steps=16 | hours=0.000 | epsilon=0.994
2025/12/03 02:43:19 PM > ep 8 done. total_steps=153 | reward=25.0 | episode_steps=25 | hours=0.000 | epsilon=0.993
2025/12/03 02:43:19 PM > ep 9 done. total_steps=219 | reward=66.0 | episode_steps=66 | hours=0.001 | epsilon=0.990
2025/12/03 02:43:19 PM > ep 10 done. total_steps=232 | reward=13.0 | episode_steps=13 | hours=0.001 | epsilon=0.990
2025/12/03 02:43:19 PM > ep 11 done. total_steps=248 | reward=16.0 | episode_steps=16 | hours=0.001 | epsilon=0.989
2025/12/03 02:43:20 PM > ep 12 done. total_steps=261 | reward=13.0 | episode_steps=13 | hours=0.001 | epsilon=0.988
2025/12/03 02:43:20 PM > ep 13 done. total_steps=271 | reward=10.0 | episode_steps=10 | hours=0.001 | epsilon=0.988
2025/12/03 02:43:20 PM > ep 14 done. total_steps=294 | reward=23.0 | episode_steps=23 | hours=0.001 | epsilon=0.987
2025/12/03 02:43:20 PM > ep 15 done. total_steps=309 | reward=15.0 | episode_steps=15 | hours=0.001 | epsilon=0.986
2025/12/03 02:43:20 PM > ep 16 done. total_steps=354 | reward=45.0 | episode_steps=45 | hours=0.001 | epsilon=0.984
2025/12/03 02:43:21 PM > ep 17 done. total_steps=387 | reward=33.0 | episode_steps=33 | hours=0.001 | epsilon=0.983
2025/12/03 02:43:21 PM > ep 18 done. total_steps=399 | reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.982
2025/12/03 02:43:21 PM > ep 19 done. total_steps=410 | reward=11.0 | episode_steps=11 | hours=0.001 | epsilon=0.982
2025/12/03 02:43:21 PM > ep 20 done. total_steps=423 | reward=13.0 | episode_steps=13 | hours=0.001 | epsilon=0.981
2025/12/03 02:43:21 PM > ep 21 done. total_steps=432 | reward=9.0 | episode_steps=9 | hours=0.001 | epsilon=0.981
