2025/12/04 01:33:48 PM > ep 1 done. total_steps=661 | reward=1.0 | episode_steps=661 | hours=0.004 | epsilon=0.971
2025/12/04 01:33:49 PM > ep 2 done. total_steps=842 | reward=1.0 | episode_steps=181 | hours=0.005 | epsilon=0.963
2025/12/04 01:33:50 PM > ep 3 done. total_steps=939 | reward=1.0 | episode_steps=97 | hours=0.005 | epsilon=0.959
2025/12/04 01:33:51 PM > ep 4 done. total_steps=1112 | reward=1.0 | episode_steps=173 | hours=0.005 | epsilon=0.951
2025/12/04 01:33:51 PM > ep 5 done. total_steps=1215 | reward=1.0 | episode_steps=103 | hours=0.005 | epsilon=0.947
2025/12/04 01:33:54 PM > ep 6 done. total_steps=1728 | reward=1.0 | episode_steps=513 | hours=0.006 | epsilon=0.926
2025/12/04 01:33:55 PM > ep 7 done. total_steps=1884 | reward=1.0 | episode_steps=156 | hours=0.006 | epsilon=0.919
2025/12/04 01:33:57 PM > ep 8 done. total_steps=2167 | reward=1.0 | episode_steps=283 | hours=0.007 | epsilon=0.908
2025/12/04 01:33:57 PM > ep 9 done. total_steps=2208 | reward=1.0 | episode_steps=41 | hours=0.007 | epsilon=0.906
2025/12/04 01:33:57 PM > ep 10 done. total_steps=2260 | reward=1.0 | episode_steps=52 | hours=0.007 | epsilon=0.904
2025/12/04 01:34:03 PM > ep 11 done. total_steps=3180 | reward=1.0 | episode_steps=920 | hours=0.008 | epsilon=0.868
2025/12/04 01:34:03 PM > ep 12 done. total_steps=3194 | reward=1.0 | episode_steps=14 | hours=0.009 | epsilon=0.867
2025/12/04 01:34:04 PM > ep 13 done. total_steps=3408 | reward=1.0 | episode_steps=214 | hours=0.009 | epsilon=0.859
2025/12/04 01:34:10 PM > ep 14 done. total_steps=4408 | reward=0.0 | episode_steps=1000 | hours=0.010 | epsilon=0.822
2025/12/04 01:34:16 PM > ep 15 done. total_steps=5408 | reward=0.0 | episode_steps=1000 | hours=0.012 | epsilon=0.787
2025/12/04 01:34:18 PM > ep 16 done. total_steps=5858 | reward=1.0 | episode_steps=450 | hours=0.013 | epsilon=0.772
2025/12/04 01:34:24 PM > ep 17 done. total_steps=6858 | reward=0.0 | episode_steps=1000 | hours=0.015 | epsilon=0.739
2025/12/04 01:34:30 PM > ep 18 done. total_steps=7858 | reward=0.0 | episode_steps=1000 | hours=0.016 | epsilon=0.708
2025/12/04 01:34:36 PM > ep 19 done. total_steps=8858 | reward=0.0 | episode_steps=1000 | hours=0.018 | epsilon=0.678
2025/12/04 01:34:42 PM > ep 20 done. total_steps=9858 | reward=0.0 | episode_steps=1000 | hours=0.019 | epsilon=0.650
2025/12/04 01:34:48 PM > ep 21 done. total_steps=10858 | reward=0.0 | episode_steps=1000 | hours=0.021 | epsilon=0.623
2025/12/04 01:34:54 PM > ep 22 done. total_steps=11858 | reward=0.0 | episode_steps=1000 | hours=0.023 | epsilon=0.597
2025/12/04 01:34:54 PM > ep 23 done. total_steps=11883 | reward=1.0 | episode_steps=25 | hours=0.023 | epsilon=0.597
